Name,Chat_participation,Presence_time,Presence_punctuality
ALUNO_1,1.000,1.000,1.000
ALUNO_2,1.000,1.000,1.000
ALUNO_3,0.600,1.000,1.000
ALUNO_4,0.600,1.000,1.000
ALUNO_5,0.400,1.000,1.000
ALUNO_6,0.800,0.857,1.000
ALUNO_7,0.800,1.000,1.000
ALUNO_8,0.600,0.713,0.135
ALUNO_9,0.000,1.000,1.000
ALUNO_10,0.000,1.000,1.000
ALUNO_11,0.000,1.000,1.000
ALUNO_12,0.000,1.000,1.000
ALUNO_13,0.000,1.000,1.000
ALUNO_14,0.000,1.000,1.000
ALUNO_15,0.000,1.000,1.000
ALUNO_16,0.000,1.000,1.000
ALUNO_17,0.000,0.871,1.000
ALUNO_18,0.000,0.602,0.000
ALUNO_19,0.000,0.739,0.225
ALUNO_20,0.000,0.709,0.121
ALUNO_21,0.200,1.000,1.000
ALUNO_22,0.200,1.000,1.000
ALUNO_23,0.200,1.000,1.000
ALUNO_24,0.200,1.000,1.000
ALUNO_25,0.600,0.364,1.000
ALUNO_26,0.000,0.295,1.000
ALUNO_27,0.000,0.206,0.000
